"Date" "Value"
"1" 2012-01-01 0
"2" 2012-01-02 0
"3" 2012-01-03 60
"4" 2012-01-04 NA
"5" 2012-01-05 20
"6" 2012-01-06 40
"7" 2012-01-07 NA
"8" 2012-01-08 NA
"9" 2012-01-09 NA
"10" 2012-01-10 NA
"11" 2012-01-11 NA
"12" 2012-01-12 NA
"13" 2012-01-13 NA
"14" 2012-01-14 NA
"15" 2012-01-15 35
"16" 2012-01-16 20
"17" 2012-01-17 5
"18" 2012-01-18 NA
"19" 2012-01-19 15
"20" 2012-01-20 NA
"21" 2012-01-21 NA
"22" 2012-01-22 5
"23" 2012-01-23 5
"24" 2012-01-24 NA
"25" 2012-01-25 5
"26" 2012-01-26 10
"27" 2012-01-27 100
"28" 2012-01-28 NA
"29" 2012-01-29 NA
"30" 2012-01-30 10
"31" 2012-01-31 10
"32" 2012-02-01 NA
"33" 2012-02-02 5
"34" 2012-02-03 5
"35" 2012-02-04 NA
"36" 2012-02-05 NA
"37" 2012-02-06 NA
"38" 2012-02-07 NA
"39" 2012-02-08 5
"40" 2012-02-09 5
"41" 2012-02-10 NA
"42" 2012-02-11 NA
"43" 2012-02-12 NA
"44" 2012-02-13 NA
"45" 2012-02-14 NA
"46" 2012-02-15 NA
"47" 2012-02-16 NA
"48" 2012-02-17 NA
"49" 2012-02-18 NA
"50" 2012-02-19 NA
"51" 2012-02-20 NA
"52" 2012-02-21 NA
"53" 2012-02-22 NA
"54" 2012-02-23 NA
"55" 2012-02-24 NA
"56" 2012-02-25 NA
"57" 2012-02-26 NA
"58" 2012-02-27 15
"59" 2012-02-28 NA
"60" 2012-02-29 61
"61" 2012-03-01 NA
"62" 2012-03-02 NA
"63" 2012-03-03 NA
"64" 2012-03-04 NA
"65" 2012-03-05 NA
"66" 2012-03-06 NA
"67" 2012-03-07 NA
"68" 2012-03-08 NA
"69" 2012-03-09 5
"70" 2012-03-10 NA
"71" 2012-03-11 NA
"72" 2012-03-12 10
"73" 2012-03-13 NA
"74" 2012-03-14 NA
"75" 2012-03-15 NA
"76" 2012-03-16 176
"77" 2012-03-17 NA
"78" 2012-03-18 5
"79" 2012-03-19 5
"80" 2012-03-20 30
"81" 2012-03-21 5
"82" 2012-03-22 10
"83" 2012-03-23 5
"84" 2012-03-24 5
"85" 2012-03-25 5
"86" 2012-03-26 10
"87" 2012-03-27 NA
"88" 2012-03-28 NA
"89" 2012-03-29 10
"90" 2012-03-30 10
"91" 2012-03-31 NA
"92" 2012-04-01 25
"93" 2012-04-02 15
"94" 2012-04-03 15
"95" 2012-04-04 10
"96" 2012-04-05 10
"97" 2012-04-06 10
"98" 2012-04-07 20
"99" 2012-04-08 NA
"100" 2012-04-09 140
"101" 2012-04-10 5
"102" 2012-04-11 NA
"103" 2012-04-12 NA
"104" 2012-04-13 NA
"105" 2012-04-14 NA
"106" 2012-04-15 NA
"107" 2012-04-16 5
"108" 2012-04-17 15
"109" 2012-04-18 NA
"110" 2012-04-19 5
"111" 2012-04-20 10
"112" 2012-04-21 15
"113" 2012-04-22 NA
"114" 2012-04-23 NA
"115" 2012-04-24 80
"116" 2012-04-25 NA
"117" 2012-04-26 NA
"118" 2012-04-27 10
"119" 2012-04-28 10
"120" 2012-04-29 5
"121" 2012-04-30 150
"122" 2012-05-01 NA
"123" 2012-05-02 5
"124" 2012-05-03 NA
"125" 2012-05-04 10
"126" 2012-05-05 NA
"127" 2012-05-06 NA
"128" 2012-05-07 15
"129" 2012-05-08 5
"130" 2012-05-09 NA
"131" 2012-05-10 5
"132" 2012-05-11 10
"133" 2012-05-12 NA
"134" 2012-05-13 NA
"135" 2012-05-14 60
"136" 2012-05-15 15
"137" 2012-05-16 15
"138" 2012-05-17 18
"139" 2012-05-18 NA
"140" 2012-05-19 NA
"141" 2012-05-20 NA
"142" 2012-05-21 NA
"143" 2012-05-22 9
"144" 2012-05-23 NA
"145" 2012-05-24 80
"146" 2012-05-25 NA
"147" 2012-05-26 43
"148" 2012-05-27 NA
"149" 2012-05-28 NA
"150" 2012-05-29 25
"151" 2012-05-30 3
"152" 2012-05-31 5
"153" 2012-06-01 45
"154" 2012-06-02 35
"155" 2012-06-03 38
"156" 2012-06-04 NA
"157" 2012-06-05 NA
"158" 2012-06-06 NA
"159" 2012-06-07 NA
"160" 2012-06-08 NA
"161" 2012-06-09 NA
"162" 2012-06-10 NA
"163" 2012-06-11 NA
"164" 2012-06-12 NA
"165" 2012-06-13 5
"166" 2012-06-14 5
"167" 2012-06-15 40
"168" 2012-06-16 NA
"169" 2012-06-17 NA
"170" 2012-06-18 NA
"171" 2012-06-19 NA
"172" 2012-06-20 25
"173" 2012-06-21 NA
"174" 2012-06-22 NA
"175" 2012-06-23 25
"176" 2012-06-24 NA
"177" 2012-06-25 25
"178" 2012-06-26 3
"179" 2012-06-27 NA
"180" 2012-06-28 15
"181" 2012-06-29 20
"182" 2012-06-30 NA
"183" 2012-07-01 NA
"184" 2012-07-02 26
"185" 2012-07-03 NA
"186" 2012-07-04 NA
"187" 2012-07-05 NA
"188" 2012-07-06 NA
"189" 2012-07-07 NA
"190" 2012-07-08 NA
"191" 2012-07-09 NA
"192" 2012-07-10 NA
"193" 2012-07-11 NA
"194" 2012-07-12 NA
"195" 2012-07-13 68
"196" 2012-07-14 NA
"197" 2012-07-15 NA
"198" 2012-07-16 5
"199" 2012-07-17 NA
"200" 2012-07-18 NA
"201" 2012-07-19 NA
"202" 2012-07-20 21
"203" 2012-07-21 20
"204" 2012-07-22 NA
"205" 2012-07-23 43
"206" 2012-07-24 60
"207" 2012-07-25 NA
"208" 2012-07-26 NA
"209" 2012-07-27 NA
"210" 2012-07-28 NA
"211" 2012-07-29 NA
"212" 2012-07-30 30
"213" 2012-07-31 NA
"214" 2012-08-01 NA
"215" 2012-08-02 30
"216" 2012-08-03 45
"217" 2012-08-04 15
"218" 2012-08-05 NA
"219" 2012-08-06 NA
"220" 2012-08-07 NA
"221" 2012-08-08 NA
"222" 2012-08-09 NA
"223" 2012-08-10 NA
"224" 2012-08-11 NA
"225" 2012-08-12 NA
"226" 2012-08-13 NA
"227" 2012-08-14 NA
"228" 2012-08-15 NA
"229" 2012-08-16 NA
"230" 2012-08-17 NA
"231" 2012-08-18 NA
"232" 2012-08-19 NA
"233" 2012-08-20 NA
"234" 2012-08-21 NA
"235" 2012-08-22 NA
"236" 2012-08-23 NA
"237" 2012-08-24 NA
"238" 2012-08-25 NA
"239" 2012-08-26 NA
"240" 2012-08-27 65
"241" 2012-08-28 3
"242" 2012-08-29 NA
"243" 2012-08-30 40
"244" 2012-08-31 NA
"245" 2012-09-01 NA
"246" 2012-09-02 NA
"247" 2012-09-03 3
"248" 2012-09-04 40
"249" 2012-09-05 5
"250" 2012-09-06 NA
"251" 2012-09-07 NA
"252" 2012-09-08 NA
"253" 2012-09-09 5
"254" 2012-09-10 3
"255" 2012-09-11 5
"256" 2012-09-12 45
"257" 2012-09-13 10
"258" 2012-09-14 20
"259" 2012-09-15 NA
"260" 2012-09-16 NA
"261" 2012-09-17 10
"262" 2012-09-18 15
"263" 2012-09-19 10
"264" 2012-09-20 30
"265" 2012-09-21 35
"266" 2012-09-22 NA
"267" 2012-09-23 NA
"268" 2012-09-24 15
"269" 2012-09-25 48
"270" 2012-09-26 5
"271" 2012-09-27 15
"272" 2012-09-28 15
"273" 2012-09-29 10
"274" 2012-09-30 NA
"275" 2012-10-01 5
"276" 2012-10-02 5
"277" 2012-10-03 10
"278" 2012-10-04 60
"279" 2012-10-05 15
"280" 2012-10-06 10
"281" 2012-10-07 NA
"282" 2012-10-08 35
"283" 2012-10-09 14
"284" 2012-10-10 15
"285" 2012-10-11 5
"286" 2012-10-12 NA
"287" 2012-10-13 NA
"288" 2012-10-14 NA
"289" 2012-10-15 NA
"290" 2012-10-16 36
"291" 2012-10-17 5
"292" 2012-10-18 10
"293" 2012-10-19 4
"294" 2012-10-20 NA
"295" 2012-10-21 NA
"296" 2012-10-22 10
"297" 2012-10-23 15
"298" 2012-10-24 25
"299" 2012-10-25 NA
"300" 2012-10-26 NA
"301" 2012-10-27 NA
"302" 2012-10-28 NA
"303" 2012-10-29 5
"304" 2012-10-30 5
"305" 2012-10-31 5
"306" 2012-11-01 5
"307" 2012-11-02 20
"308" 2012-11-03 NA
"309" 2012-11-04 NA
"310" 2012-11-05 NA
"311" 2012-11-06 70
"312" 2012-11-07 NA
"313" 2012-11-08 NA
"314" 2012-11-09 5
"315" 2012-11-10 15
"316" 2012-11-11 5
"317" 2012-11-12 NA
"318" 2012-11-13 NA
"319" 2012-11-14 NA
"320" 2012-11-15 NA
"321" 2012-11-16 36
"322" 2012-11-17 5
"323" 2012-11-18 10
"324" 2012-11-19 100
"325" 2012-11-20 10
"326" 2012-11-21 10
"327" 2012-11-22 5
"328" 2012-11-23 10
"329" 2012-11-24 NA
"330" 2012-11-25 NA
"331" 2012-11-26 120
"332" 2012-11-27 NA
"333" 2012-11-28 NA
"334" 2012-11-29 10
"335" 2012-11-30 5
"336" 2012-12-01 NA
"337" 2012-12-02 NA
"338" 2012-12-03 15
"339" 2012-12-04 NA
"340" 2012-12-05 15
"341" 2012-12-06 10
"342" 2012-12-07 5
"343" 2012-12-08 NA
"344" 2012-12-09 NA
"345" 2012-12-10 60
"346" 2012-12-11 NA
"347" 2012-12-12 10
"348" 2012-12-13 NA
"349" 2012-12-14 25
"350" 2012-12-15 NA
"351" 2012-12-16 20
"352" 2012-12-17 NA
"353" 2012-12-18 NA
"354" 2012-12-19 5
"355" 2012-12-20 25
"356" 2012-12-21 NA
"357" 2012-12-22 NA
"358" 2012-12-23 NA
"359" 2012-12-24 NA
"360" 2012-12-25 NA
"361" 2012-12-26 5
"362" 2012-12-27 NA
"363" 2012-12-28 NA
"364" 2012-12-29 15
"365" 2012-12-30 NA
"366" 2012-12-31 NA
"367" 2013-01-01 0
"368" 2013-01-02 0
"369" 2013-01-03 0
"370" 2013-01-04 0
"371" 2013-01-05 NA
"372" 2013-01-06 NA
"373" 2013-01-07 0
"374" 2013-01-08 0
"375" 2013-01-09 0
"376" 2013-01-10 0
"377" 2013-01-11 0
"378" 2013-01-12 NA
"379" 2013-01-13 NA
"380" 2013-01-14 0
"381" 2013-01-15 0
"382" 2013-01-16 7
"383" 2013-01-17 7
"384" 2013-01-18 NA
"385" 2013-01-19 NA
"386" 2013-01-20 NA
"387" 2013-01-21 NA
"388" 2013-01-22 NA
"389" 2013-01-23 NA
"390" 2013-01-24 NA
"391" 2013-01-25 NA
"392" 2013-01-26 NA
"393" 2013-01-27 NA
"394" 2013-01-28 NA
"395" 2013-01-29 NA
"396" 2013-01-30 NA
"397" 2013-01-31 NA
"398" 2013-02-01 0
"399" 2013-02-02 0
"400" 2013-02-03 0
"401" 2013-02-04 2
"402" 2013-02-05 18
"403" 2013-02-06 NA
"404" 2013-02-07 NA
"405" 2013-02-08 NA
"406" 2013-02-09 NA
"407" 2013-02-10 NA
"408" 2013-02-11 NA
"409" 2013-02-12 NA
"410" 2013-02-13 NA
"411" 2013-02-14 NA
"412" 2013-02-15 NA
"413" 2013-02-16 NA
"414" 2013-02-17 NA
"415" 2013-02-18 NA
"416" 2013-02-19 NA
"417" 2013-02-20 NA
"418" 2013-02-21 NA
"419" 2013-02-22 NA
"420" 2013-02-23 NA
"421" 2013-02-24 NA
"422" 2013-02-25 NA
"423" 2013-02-26 NA
"424" 2013-02-27 NA
"425" 2013-02-28 NA
"426" 2013-03-01 NA
"427" 2013-03-02 NA
"428" 2013-03-03 NA
"429" 2013-03-04 NA
"430" 2013-03-05 NA
"431" 2013-03-06 NA
"432" 2013-03-07 NA
"433" 2013-03-08 NA
"434" 2013-03-09 NA
"435" 2013-03-10 NA
"436" 2013-03-11 NA
"437" 2013-03-12 NA
"438" 2013-03-13 NA
"439" 2013-03-14 NA
"440" 2013-03-15 NA
"441" 2013-03-16 NA
"442" 2013-03-17 NA
"443" 2013-03-18 NA
"444" 2013-03-19 NA
"445" 2013-03-20 NA
"446" 2013-03-21 NA
"447" 2013-03-22 NA
"448" 2013-03-23 NA
"449" 2013-03-24 NA
"450" 2013-03-25 NA
"451" 2013-03-26 NA
"452" 2013-03-27 NA
"453" 2013-03-28 NA
"454" 2013-03-29 NA
"455" 2013-03-30 NA
"456" 2013-03-31 NA
"457" 2013-04-01 NA
"458" 2013-04-02 NA
"459" 2013-04-03 NA
"460" 2013-04-04 NA
"461" 2013-04-05 NA
"462" 2013-04-06 NA
"463" 2013-04-07 NA
"464" 2013-04-08 NA
"465" 2013-04-09 NA
"466" 2013-04-10 NA
"467" 2013-04-11 NA
"468" 2013-04-12 NA
"469" 2013-04-13 NA
"470" 2013-04-14 NA
"471" 2013-04-15 NA
"472" 2013-04-16 NA
"473" 2013-04-17 NA
"474" 2013-04-18 NA
"475" 2013-04-19 NA
"476" 2013-04-20 NA
