"Date" "Value"
"1" 2010-01-01 0
"2" 2010-01-02 0
"3" 2010-01-03 0
"4" 2010-01-04 0
"5" 2010-01-05 0
"6" 2010-01-06 0
"7" 2010-01-07 0
"8" 2010-01-08 0
"9" 2010-01-09 10
"10" 2010-01-10 0
"11" 2010-01-11 0
"12" 2010-01-12 0
"13" 2010-01-13 0
"14" 2010-01-14 0
"15" 2010-01-15 0
"16" 2010-01-16 0
"17" 2010-01-17 0
"18" 2010-01-18 0
"19" 2010-01-19 0
"20" 2010-01-20 0
"21" 2010-01-21 0
"22" 2010-01-22 0
"23" 2010-01-23 0
"24" 2010-01-24 0
"25" 2010-01-25 0
"26" 2010-01-26 0
"27" 2010-01-27 0
"28" 2010-01-28 0
"29" 2010-01-29 0
"30" 2010-01-30 0
"31" 2010-01-31 0
"32" 2010-02-01 0
"33" 2010-02-02 0
"34" 2010-02-03 0
"35" 2010-02-04 0
"36" 2010-02-05 0
"37" 2010-02-06 0
"38" 2010-02-07 0
"39" 2010-02-08 0
"40" 2010-02-09 0
"41" 2010-02-10 0
"42" 2010-02-11 0
"43" 2010-02-12 0
"44" 2010-02-13 0
"45" 2010-02-14 0
"46" 2010-02-15 0
"47" 2010-02-16 0
"48" 2010-02-17 0
"49" 2010-02-18 0
"50" 2010-02-19 0
"51" 2010-02-20 0
"52" 2010-02-21 0
"53" 2010-02-22 0
"54" 2010-02-23 0
"55" 2010-02-24 0
"56" 2010-02-25 0
"57" 2010-02-26 0
"58" 2010-02-27 2
"59" 2010-02-28 0
"60" 2010-03-01 0
"61" 2010-03-02 0
"62" 2010-03-03 80
"63" 2010-03-04 0
"64" 2010-03-05 0
"65" 2010-03-06 0
"66" 2010-03-07 17.5
"67" 2010-03-08 12.5
"68" 2010-03-09 50
"69" 2010-03-10 2.5
"70" 2010-03-11 0
"71" 2010-03-12 0
"72" 2010-03-13 0
"73" 2010-03-14 0
"74" 2010-03-15 0
"75" 2010-03-16 0
"76" 2010-03-17 30
"77" 2010-03-18 7.5
"78" 2010-03-19 0
"79" 2010-03-20 0
"80" 2010-03-21 27.5
"81" 2010-03-22 5
"82" 2010-03-23 2.5
"83" 2010-03-24 0
"84" 2010-03-25 7.5
"85" 2010-03-26 17.5
"86" 2010-03-27 0
"87" 2010-03-28 22.5
"88" 2010-03-29 50
"89" 2010-03-30 37.5
"90" 2010-03-31 7.5
"91" 2010-04-01 0
"92" 2010-04-02 10
"93" 2010-04-03 15
"94" 2010-04-04 5
"95" 2010-04-05 12.5
"96" 2010-04-06 0
"97" 2010-04-07 5
"98" 2010-04-08 2.5
"99" 2010-04-09 10
"100" 2010-04-10 7.5
"101" 2010-04-11 0
"102" 2010-04-12 30
"103" 2010-04-13 2.5
"104" 2010-04-14 0
"105" 2010-04-15 0
"106" 2010-04-16 0
"107" 2010-04-17 0
"108" 2010-04-18 0
"109" 2010-04-19 0
"110" 2010-04-20 0
"111" 2010-04-21 0
"112" 2010-04-22 0
"113" 2010-04-23 0
"114" 2010-04-24 12.5
"115" 2010-04-25 45
"116" 2010-04-26 7.5
"117" 2010-04-27 2.5
"118" 2010-04-28 2.5
"119" 2010-04-29 2.5
"120" 2010-04-30 0
"121" 2010-05-01 0
"122" 2010-05-02 0
"123" 2010-05-03 15
"124" 2010-05-04 0
"125" 2010-05-05 0
"126" 2010-05-06 47.5
"127" 2010-05-07 0
"128" 2010-05-08 0
"129" 2010-05-09 0
"130" 2010-05-10 0
"131" 2010-05-11 0
"132" 2010-05-12 5
"133" 2010-05-13 0
"134" 2010-05-14 150
"135" 2010-05-15 7.5
"136" 2010-05-16 17.5
"137" 2010-05-17 2.5
"138" 2010-05-18 5
"139" 2010-05-19 2.5
"140" 2010-05-20 0
"141" 2010-05-21 0
"142" 2010-05-22 0
"143" 2010-05-23 2.5
"144" 2010-05-24 2.5
"145" 2010-05-25 0
"146" 2010-05-26 0
"147" 2010-05-27 0
"148" 2010-05-28 0
"149" 2010-05-29 0
"150" 2010-05-30 2.5
"151" 2010-05-31 7.5
"152" 2010-06-01 5
"153" 2010-06-02 5
"154" 2010-06-03 0
"155" 2010-06-04 0
"156" 2010-06-05 25
"157" 2010-06-06 12.5
"158" 2010-06-07 0
