"Date" "Value"
"1" 2015-01-21 35
"2" 2015-01-22 10
"3" 2015-01-23 NA
"4" 2015-01-24 NA
"5" 2015-01-25 NA
"6" 2015-01-26 NA
"7" 2015-01-27 NA
"8" 2015-01-28 NA
"9" 2015-01-29 NA
"10" 2015-01-30 NA
"11" 2015-01-31 NA
"12" 2015-02-01 NA
"13" 2015-02-02 NA
"14" 2015-02-03 NA
"15" 2015-02-04 NA
"16" 2015-02-05 5
"17" 2015-02-06 NA
"18" 2015-02-07 NA
"19" 2015-02-08 NA
"20" 2015-02-09 18
"21" 2015-02-10 NA
"22" 2015-02-11 NA
"23" 2015-02-12 NA
"24" 2015-02-13 NA
"25" 2015-02-14 NA
"26" 2015-02-15 NA
"27" 2015-02-16 NA
"28" 2015-02-17 NA
"29" 2015-02-18 NA
"30" 2015-02-19 19
"31" 2015-02-20 NA
"32" 2015-02-21 NA
"33" 2015-02-22 NA
"34" 2015-02-23 NA
"35" 2015-02-24 6
"36" 2015-02-25 NA
"37" 2015-02-26 NA
"38" 2015-02-27 NA
"39" 2015-02-28 NA
"40" 2015-03-01 NA
"41" 2015-03-02 NA
"42" 2015-03-03 NA
"43" 2015-03-04 NA
"44" 2015-03-05 NA
"45" 2015-03-06 NA
"46" 2015-03-07 NA
"47" 2015-03-08 NA
"48" 2015-03-09 NA
"49" 2015-03-10 NA
"50" 2015-03-11 NA
"51" 2015-03-12 NA
"52" 2015-03-13 NA
"53" 2015-03-14 NA
"54" 2015-03-15 NA
"55" 2015-03-16 NA
"56" 2015-03-17 NA
"57" 2015-03-18 NA
"58" 2015-03-19 NA
"59" 2015-03-20 5
"60" 2015-03-21 10
"61" 2015-03-22 NA
"62" 2015-03-23 NA
"63" 2015-03-24 NA
"64" 2015-03-25 NA
"65" 2015-03-26 NA
"66" 2015-03-27 NA
"67" 2015-03-28 NA
"68" 2015-03-29 NA
"69" 2015-03-30 NA
"70" 2015-03-31 NA
"71" 2015-04-01 NA
"72" 2015-04-02 NA
"73" 2015-04-03 NA
"74" 2015-04-04 42
"75" 2015-04-05 NA
"76" 2015-04-06 NA
"77" 2015-04-07 NA
"78" 2015-04-08 NA
"79" 2015-04-09 NA
"80" 2015-04-10 NA
"81" 2015-04-11 NA
"82" 2015-04-12 NA
"83" 2015-04-13 22
"84" 2015-04-14 NA
"85" 2015-04-15 60
"86" 2015-04-16 NA
"87" 2015-04-17 22
"88" 2015-04-18 NA
"89" 2015-04-19 NA
"90" 2015-04-20 NA
"91" 2015-04-21 NA
"92" 2015-04-22 NA
"93" 2015-04-23 NA
"94" 2015-04-24 NA
"95" 2015-04-25 42
"96" 2015-04-26 22
"97" 2015-04-27 NA
"98" 2015-04-28 NA
"99" 2015-04-29 6
"100" 2015-04-30 8
"101" 2015-05-01 NA
"102" 2015-05-02 NA
"103" 2015-05-03 NA
"104" 2015-05-04 NA
"105" 2015-05-05 38
"106" 2015-05-06 NA
"107" 2015-05-07 NA
"108" 2015-05-08 NA
"109" 2015-05-09 NA
"110" 2015-05-10 NA
"111" 2015-05-11 NA
"112" 2015-05-12 NA
"113" 2015-05-13 NA
"114" 2015-05-14 NA
"115" 2015-05-15 NA
"116" 2015-05-16 NA
"117" 2015-05-17 NA
"118" 2015-05-18 NA
"119" 2015-05-19 65
"120" 2015-05-20 35
"121" 2015-05-21 NA
"122" 2015-05-22 10
"123" 2015-05-23 NA
"124" 2015-05-24 12
"125" 2015-05-25 65
"126" 2015-05-26 NA
"127" 2015-05-27 NA
"128" 2015-05-28 68
"129" 2015-05-29 NA
"130" 2015-05-30 NA
"131" 2015-05-31 NA
"132" 2015-06-01 NA
"133" 2015-06-02 50
"134" 2015-06-03 NA
"135" 2015-06-04 NA
"136" 2015-06-05 20
"137" 2015-06-06 NA
"138" 2015-06-07 NA
"139" 2015-06-08 NA
"140" 2015-06-09 70
"141" 2015-06-10 NA
"142" 2015-06-11 NA
"143" 2015-06-12 NA
"144" 2015-06-13 NA
"145" 2015-06-14 NA
"146" 2015-06-15 NA
"147" 2015-06-16 NA
"148" 2015-06-17 NA
"149" 2015-06-18 NA
"150" 2015-06-19 NA
"151" 2015-06-20 NA
"152" 2015-06-21 NA
"153" 2015-06-22 NA
"154" 2015-06-23 NA
"155" 2015-06-24 NA
"156" 2015-06-25 NA
"157" 2015-06-26 NA
"158" 2015-06-27 NA
"159" 2015-06-28 NA
"160" 2015-06-29 NA
"161" 2015-06-30 NA
"162" 2015-07-01 NA
"163" 2015-07-02 NA
"164" 2015-07-03 NA
"165" 2015-07-04 NA
"166" 2015-07-05 NA
"167" 2015-07-06 NA
"168" 2015-07-07 NA
"169" 2015-07-08 NA
"170" 2015-07-09 NA
"171" 2015-07-10 NA
"172" 2015-07-11 NA
"173" 2015-07-12 NA
"174" 2015-07-13 45
"175" 2015-07-14 NA
"176" 2015-07-15 NA
"177" 2015-07-16 NA
"178" 2015-07-17 NA
"179" 2015-07-18 NA
"180" 2015-07-19 NA
"181" 2015-07-20 NA
"182" 2015-07-21 NA
"183" 2015-07-22 NA
"184" 2015-07-23 NA
