"Date" "Value"
"1" 2010-01-18 22
"2" 2010-01-19 NA
"3" 2010-01-20 NA
"4" 2010-01-21 NA
"5" 2010-01-22 NA
"6" 2010-01-23 NA
"7" 2010-01-24 NA
"8" 2010-01-25 NA
"9" 2010-01-26 NA
"10" 2010-01-27 NA
"11" 2010-01-28 NA
"12" 2010-01-29 NA
"13" 2010-01-30 NA
"14" 2010-01-31 NA
"15" 2010-02-01 NA
"16" 2010-02-02 NA
"17" 2010-02-03 NA
"18" 2010-02-04 NA
"19" 2010-02-05 NA
"20" 2010-02-06 NA
"21" 2010-02-07 NA
"22" 2010-02-08 NA
"23" 2010-02-09 NA
"24" 2010-02-10 NA
"25" 2010-02-11 NA
"26" 2010-02-12 NA
"27" 2010-02-13 NA
"28" 2010-02-14 NA
"29" 2010-02-15 NA
"30" 2010-02-16 NA
"31" 2010-02-17 NA
"32" 2010-02-18 NA
"33" 2010-02-19 NA
"34" 2010-02-20 NA
"35" 2010-02-21 NA
"36" 2010-02-22 NA
"37" 2010-02-23 NA
"38" 2010-02-24 NA
"39" 2010-02-25 NA
"40" 2010-02-26 NA
"41" 2010-02-27 NA
"42" 2010-02-28 NA
"43" 2010-03-01 NA
"44" 2010-03-02 NA
"45" 2010-03-03 NA
"46" 2010-03-04 NA
"47" 2010-03-05 NA
"48" 2010-03-06 NA
"49" 2010-03-07 NA
"50" 2010-03-08 NA
"51" 2010-03-09 NA
"52" 2010-03-10 NA
"53" 2010-03-11 NA
"54" 2010-03-12 NA
"55" 2010-03-13 NA
"56" 2010-03-14 NA
"57" 2010-03-15 NA
"58" 2010-03-16 NA
"59" 2010-03-17 NA
"60" 2010-03-18 NA
"61" 2010-03-19 NA
"62" 2010-03-20 NA
"63" 2010-03-21 NA
"64" 2010-03-22 NA
"65" 2010-03-23 NA
"66" 2010-03-24 NA
"67" 2010-03-25 NA
"68" 2010-03-26 NA
"69" 2010-03-27 NA
"70" 2010-03-28 NA
"71" 2010-03-29 NA
"72" 2010-03-30 NA
"73" 2010-03-31 NA
"74" 2010-04-01 NA
"75" 2010-04-02 NA
"76" 2010-04-03 NA
"77" 2010-04-04 NA
"78" 2010-04-05 NA
"79" 2010-04-06 NA
"80" 2010-04-07 NA
"81" 2010-04-08 NA
"82" 2010-04-09 NA
"83" 2010-04-10 NA
"84" 2010-04-11 NA
"85" 2010-04-12 NA
"86" 2010-04-13 NA
"87" 2010-04-14 NA
"88" 2010-04-15 NA
"89" 2010-04-16 NA
"90" 2010-04-17 NA
"91" 2010-04-18 NA
"92" 2010-04-19 NA
"93" 2010-04-20 NA
"94" 2010-04-21 NA
"95" 2010-04-22 NA
"96" 2010-04-23 NA
"97" 2010-04-24 NA
"98" 2010-04-25 NA
"99" 2010-04-26 NA
"100" 2010-04-27 NA
"101" 2010-04-28 NA
"102" 2010-04-29 NA
"103" 2010-04-30 NA
"104" 2010-05-01 NA
"105" 2010-05-02 NA
"106" 2010-05-03 NA
"107" 2010-05-04 NA
"108" 2010-05-05 NA
"109" 2010-05-06 NA
"110" 2010-05-07 NA
"111" 2010-05-08 NA
"112" 2010-05-09 NA
"113" 2010-05-10 NA
"114" 2010-05-11 NA
"115" 2010-05-12 NA
"116" 2010-05-13 NA
"117" 2010-05-14 NA
"118" 2010-05-15 NA
"119" 2010-05-16 NA
"120" 2010-05-17 NA
"121" 2010-05-18 NA
"122" 2010-05-19 NA
"123" 2010-05-20 NA
"124" 2010-05-21 NA
"125" 2010-05-22 NA
"126" 2010-05-23 NA
"127" 2010-05-24 NA
"128" 2010-05-25 NA
"129" 2010-05-26 NA
"130" 2010-05-27 NA
"131" 2010-05-28 NA
"132" 2010-05-29 NA
