"Date" "Value"
"1" 2014-01-20 2
"2" 2014-01-21 20
"3" 2014-01-22 NA
"4" 2014-01-23 NA
"5" 2014-01-24 NA
"6" 2014-01-25 NA
"7" 2014-01-26 NA
"8" 2014-01-27 3
"9" 2014-01-28 NA
"10" 2014-01-29 NA
"11" 2014-01-30 NA
"12" 2014-01-31 NA
"13" 2014-02-01 NA
"14" 2014-02-02 NA
"15" 2014-02-03 NA
"16" 2014-02-04 NA
"17" 2014-02-05 NA
"18" 2014-02-06 NA
"19" 2014-02-07 NA
"20" 2014-02-08 NA
"21" 2014-02-09 NA
"22" 2014-02-10 NA
"23" 2014-02-11 NA
"24" 2014-02-12 2
"25" 2014-02-13 NA
"26" 2014-02-14 NA
"27" 2014-02-15 NA
"28" 2014-02-16 NA
"29" 2014-02-17 NA
"30" 2014-02-18 4
"31" 2014-02-19 NA
"32" 2014-02-20 NA
"33" 2014-02-21 NA
"34" 2014-02-22 NA
"35" 2014-02-23 NA
"36" 2014-02-24 NA
"37" 2014-02-25 NA
"38" 2014-02-26 NA
"39" 2014-02-27 NA
"40" 2014-02-28 NA
"41" 2014-03-01 18
"42" 2014-03-02 NA
"43" 2014-03-03 NA
"44" 2014-03-04 NA
"45" 2014-03-05 NA
"46" 2014-03-06 NA
"47" 2014-03-07 NA
"48" 2014-03-08 16
"49" 2014-03-09 NA
"50" 2014-03-10 NA
"51" 2014-03-11 NA
"52" 2014-03-12 NA
"53" 2014-03-13 NA
"54" 2014-03-14 NA
"55" 2014-03-15 NA
"56" 2014-03-16 NA
"57" 2014-03-17 NA
"58" 2014-03-18 NA
"59" 2014-03-19 NA
"60" 2014-03-20 NA
"61" 2014-03-21 NA
"62" 2014-03-22 NA
"63" 2014-03-23 NA
"64" 2014-03-24 19
"65" 2014-03-25 NA
"66" 2014-03-26 3
"67" 2014-03-27 NA
"68" 2014-03-28 NA
"69" 2014-03-29 NA
"70" 2014-03-30 NA
"71" 2014-03-31 NA
"72" 2014-04-01 NA
"73" 2014-04-02 NA
"74" 2014-04-03 NA
"75" 2014-04-04 NA
"76" 2014-04-05 5
"77" 2014-04-06 NA
"78" 2014-04-07 NA
"79" 2014-04-08 NA
"80" 2014-04-09 NA
"81" 2014-04-10 NA
"82" 2014-04-11 NA
"83" 2014-04-12 NA
"84" 2014-04-13 NA
"85" 2014-04-14 NA
"86" 2014-04-15 NA
"87" 2014-04-16 NA
"88" 2014-04-17 NA
"89" 2014-04-18 NA
"90" 2014-04-19 NA
"91" 2014-04-20 NA
"92" 2014-04-21 10
"93" 2014-04-22 9
"94" 2014-04-23 36
"95" 2014-04-24 22
"96" 2014-04-25 NA
"97" 2014-04-26 NA
"98" 2014-04-27 NA
"99" 2014-04-28 11
"100" 2014-04-29 NA
"101" 2014-04-30 NA
"102" 2014-05-01 NA
"103" 2014-05-02 10
"104" 2014-05-03 NA
"105" 2014-05-04 NA
"106" 2014-05-05 22
"107" 2014-05-06 86
"108" 2014-05-07 2
"109" 2014-05-08 42
"110" 2014-05-09 NA
"111" 2014-05-10 NA
"112" 2014-05-11 NA
"113" 2014-05-12 34
"114" 2014-05-13 NA
"115" 2014-05-14 2
"116" 2014-05-15 6
"117" 2014-05-16 NA
"118" 2014-05-17 NA
"119" 2014-05-18 NA
"120" 2014-05-19 74
"121" 2014-05-20 94
"122" 2014-05-21 NA
"123" 2014-05-22 34
"124" 2014-05-23 NA
"125" 2014-05-24 NA
"126" 2014-05-25 NA
"127" 2014-05-26 12
"128" 2014-05-27 15
"129" 2014-05-28 21
"130" 2014-05-29 3
"131" 2014-05-30 NA
"132" 2014-05-31 NA
"133" 2014-06-01 NA
"134" 2014-06-02 NA
"135" 2014-06-03 4
"136" 2014-06-04 NA
"137" 2014-06-05 NA
"138" 2014-06-06 NA
"139" 2014-06-07 NA
"140" 2014-06-08 NA
"141" 2014-06-09 16
"142" 2014-06-10 96
"143" 2014-06-11 NA
"144" 2014-06-12 NA
"145" 2014-06-13 15
"146" 2014-06-14 NA
"147" 2014-06-15 NA
"148" 2014-06-16 NA
"149" 2014-06-17 6
"150" 2014-06-18 10
"151" 2014-06-19 36
"152" 2014-06-20 37
"153" 2014-06-21 NA
"154" 2014-06-22 NA
"155" 2014-06-23 NA
"156" 2014-06-24 10
"157" 2014-06-25 NA
"158" 2014-06-26 NA
"159" 2014-06-27 6
"160" 2014-06-28 NA
"161" 2014-06-29 NA
"162" 2014-06-30 8
"163" 2014-07-01 NA
"164" 2014-07-02 NA
"165" 2014-07-03 NA
"166" 2014-07-04 NA
"167" 2014-07-05 NA
"168" 2014-07-06 NA
"169" 2014-07-07 100
"170" 2014-07-08 10
"171" 2014-07-09 25
"172" 2014-07-10 NA
"173" 2014-07-11 48
"174" 2014-07-12 NA
"175" 2014-07-13 NA
"176" 2014-07-14 16
"177" 2014-07-15 0
"178" 2014-07-16 0
"179" 2014-07-17 0
"180" 2014-07-18 64
"181" 2014-07-19 NA
"182" 2014-07-20 NA
"183" 2014-07-21 16
"184" 2014-07-22 0
"185" 2014-07-23 0
"186" 2014-07-24 28
"187" 2014-07-25 0
"188" 2014-07-26 0
"189" 2014-07-27 0
"190" 2014-07-28 12
"191" 2014-07-29 20
"192" 2014-07-30 20
"193" 2014-07-31 14
"194" 2014-08-01 0
"195" 2014-08-02 25
"196" 2014-08-03 13
"197" 2014-08-04 14
"198" 2014-08-05 0
"199" 2014-08-06 0
"200" 2014-08-07 38
"201" 2014-08-08 3
"202" 2014-08-09 NA
"203" 2014-08-10 NA
"204" 2014-08-11 12
"205" 2014-08-12 0
"206" 2014-08-13 18
"207" 2014-08-14 0
"208" 2014-08-15 0
"209" 2014-08-16 22
"210" 2014-08-17 28
"211" 2014-08-18 12
"212" 2014-08-19 0
"213" 2014-08-20 0
"214" 2014-08-21 0
"215" 2014-08-22 37
"216" 2014-08-23 0
"217" 2014-08-24 0
"218" 2014-08-25 27
"219" 2014-08-26 0
"220" 2014-08-27 16
"221" 2014-08-28 0
"222" 2014-08-29 0
"223" 2014-08-30 0
"224" 2014-08-31 0
"225" 2014-09-01 0
"226" 2014-09-02 65
"227" 2014-09-03 0
"228" 2014-09-04 37
"229" 2014-09-05 0
"230" 2014-09-06 0
"231" 2014-09-07 62
"232" 2014-09-08 0
"233" 2014-09-09 19
"234" 2014-09-10 0
"235" 2014-09-11 62
"236" 2014-09-12 0
"237" 2014-09-13 0
"238" 2014-09-14 16
"239" 2014-09-15 0
"240" 2014-09-16 0
"241" 2014-09-17 103
"242" 2014-09-18 0
"243" 2014-09-19 15
