"Date" "Value"
"1" 2013-02-04 120
"2" 2013-02-05 8
"3" 2013-02-06 4
"4" 2013-02-07 NA
"5" 2013-02-08 36
"6" 2013-02-09 NA
"7" 2013-02-10 NA
"8" 2013-02-11 NA
"9" 2013-02-12 NA
"10" 2013-02-13 NA
"11" 2013-02-14 NA
"12" 2013-02-15 NA
"13" 2013-02-16 NA
"14" 2013-02-17 NA
"15" 2013-02-18 NA
"16" 2013-02-19 NA
"17" 2013-02-20 NA
"18" 2013-02-21 NA
"19" 2013-02-22 NA
"20" 2013-02-23 NA
"21" 2013-02-24 NA
"22" 2013-02-25 NA
"23" 2013-02-26 NA
"24" 2013-02-27 NA
"25" 2013-02-28 NA
"26" 2013-03-01 NA
"27" 2013-03-02 NA
"28" 2013-03-03 NA
"29" 2013-03-04 NA
"30" 2013-03-05 NA
"31" 2013-03-06 NA
"32" 2013-03-07 NA
"33" 2013-03-08 NA
"34" 2013-03-09 NA
"35" 2013-03-10 NA
"36" 2013-03-11 14
"37" 2013-03-12 NA
"38" 2013-03-13 NA
"39" 2013-03-14 NA
"40" 2013-03-15 NA
"41" 2013-03-16 NA
"42" 2013-03-17 NA
"43" 2013-03-18 60
"44" 2013-03-19 25
"45" 2013-03-20 0.5
"46" 2013-03-21 NA
"47" 2013-03-22 NA
"48" 2013-03-23 NA
"49" 2013-03-24 NA
"50" 2013-03-25 NA
"51" 2013-03-26 NA
"52" 2013-03-27 15
"53" 2013-03-28 NA
"54" 2013-03-29 NA
"55" 2013-03-30 NA
"56" 2013-03-31 NA
"57" 2013-04-01 NA
"58" 2013-04-02 NA
"59" 2013-04-03 NA
"60" 2013-04-04 NA
"61" 2013-04-05 NA
"62" 2013-04-06 NA
"63" 2013-04-07 NA
"64" 2013-04-08 60
"65" 2013-04-09 43
"66" 2013-04-10 NA
"67" 2013-04-11 NA
"68" 2013-04-12 NA
"69" 2013-04-13 NA
"70" 2013-04-14 NA
"71" 2013-04-15 5
"72" 2013-04-16 NA
"73" 2013-04-17 NA
"74" 2013-04-18 1
"75" 2013-04-19 23
"76" 2013-04-20 NA
"77" 2013-04-21 NA
"78" 2013-04-22 5
"79" 2013-04-23 30
"80" 2013-04-24 NA
"81" 2013-04-25 NA
"82" 2013-04-26 NA
"83" 2013-04-27 NA
"84" 2013-04-28 NA
"85" 2013-04-29 NA
"86" 2013-04-30 NA
"87" 2013-05-01 NA
"88" 2013-05-02 NA
"89" 2013-05-03 NA
"90" 2013-05-04 NA
"91" 2013-05-05 NA
"92" 2013-05-06 NA
"93" 2013-05-07 NA
"94" 2013-05-08 NA
"95" 2013-05-09 NA
"96" 2013-05-10 NA
"97" 2013-05-11 NA
"98" 2013-05-12 NA
"99" 2013-05-13 NA
"100" 2013-05-14 NA
"101" 2013-05-15 NA
"102" 2013-05-16 NA
"103" 2013-05-17 NA
"104" 2013-05-18 NA
"105" 2013-05-19 NA
"106" 2013-05-20 28
"107" 2013-05-21 NA
"108" 2013-05-22 NA
"109" 2013-05-23 NA
"110" 2013-05-24 NA
"111" 2013-05-25 NA
"112" 2013-05-26 NA
"113" 2013-05-27 NA
"114" 2013-05-28 NA
"115" 2013-05-29 NA
"116" 2013-05-30 NA
"117" 2013-05-31 NA
"118" 2013-06-01 NA
"119" 2013-06-02 NA
"120" 2013-06-03 7
"121" 2013-06-04 9
"122" 2013-06-05 27
"123" 2013-06-06 NA
"124" 2013-06-07 NA
"125" 2013-06-08 NA
"126" 2013-06-09 NA
"127" 2013-06-10 27
"128" 2013-06-11 30
"129" 2013-06-12 NA
"130" 2013-06-13 NA
"131" 2013-06-14 NA
"132" 2013-06-15 NA
"133" 2013-06-16 35
"134" 2013-06-17 28
"135" 2013-06-18 NA
"136" 2013-06-19 NA
"137" 2013-06-20 NA
"138" 2013-06-21 NA
"139" 2013-06-22 NA
"140" 2013-06-23 NA
"141" 2013-06-24 130
"142" 2013-06-25 NA
