"Date" "Value"
"1" 2012-01-02 53
"2" 2012-01-03 NA
"3" 2012-01-04 NA
"4" 2012-01-05 12
"5" 2012-01-06 4
"6" 2012-01-07 2
"7" 2012-01-08 NA
"8" 2012-01-09 NA
"9" 2012-01-10 NA
"10" 2012-01-11 NA
"11" 2012-01-12 NA
"12" 2012-01-13 NA
"13" 2012-01-14 NA
"14" 2012-01-15 10
"15" 2012-01-16 NA
"16" 2012-01-17 NA
"17" 2012-01-18 NA
"18" 2012-01-19 NA
"19" 2012-01-20 NA
"20" 2012-01-21 NA
"21" 2012-01-22 NA
"22" 2012-01-23 NA
"23" 2012-01-24 NA
"24" 2012-01-25 NA
"25" 2012-01-26 NA
"26" 2012-01-27 NA
"27" 2012-01-28 NA
"28" 2012-01-29 NA
"29" 2012-01-30 NA
"30" 2012-01-31 NA
"31" 2012-02-01 NA
"32" 2012-02-02 NA
"33" 2012-02-03 NA
"34" 2012-02-04 NA
"35" 2012-02-05 NA
"36" 2012-02-06 NA
"37" 2012-02-07 NA
"38" 2012-02-08 1
"39" 2012-02-09 7
"40" 2012-02-10 NA
"41" 2012-02-11 NA
"42" 2012-02-12 NA
"43" 2012-02-13 NA
"44" 2012-02-14 NA
"45" 2012-02-15 NA
"46" 2012-02-16 NA
"47" 2012-02-17 NA
"48" 2012-02-18 NA
"49" 2012-02-19 NA
"50" 2012-02-20 NA
"51" 2012-02-21 NA
"52" 2012-02-22 NA
"53" 2012-02-23 NA
"54" 2012-02-24 NA
"55" 2012-02-25 NA
"56" 2012-02-26 NA
"57" 2012-02-27 NA
"58" 2012-02-28 NA
"59" 2012-02-29 NA
"60" 2012-03-01 NA
"61" 2012-03-02 NA
"62" 2012-03-03 NA
"63" 2012-03-04 NA
"64" 2012-03-05 NA
"65" 2012-03-06 NA
"66" 2012-03-07 NA
"67" 2012-03-08 NA
"68" 2012-03-09 NA
"69" 2012-03-10 NA
"70" 2012-03-11 NA
"71" 2012-03-12 10
"72" 2012-03-13 NA
"73" 2012-03-14 NA
"74" 2012-03-15 NA
"75" 2012-03-16 NA
"76" 2012-03-17 NA
"77" 2012-03-18 NA
"78" 2012-03-19 NA
"79" 2012-03-20 NA
"80" 2012-03-21 NA
"81" 2012-03-22 NA
"82" 2012-03-23 NA
"83" 2012-03-24 NA
"84" 2012-03-25 NA
"85" 2012-03-26 NA
"86" 2012-03-27 NA
"87" 2012-03-28 NA
"88" 2012-03-29 NA
"89" 2012-03-30 NA
"90" 2012-03-31 NA
"91" 2012-04-01 NA
"92" 2012-04-02 NA
"93" 2012-04-03 NA
"94" 2012-04-04 NA
"95" 2012-04-05 NA
"96" 2012-04-06 NA
"97" 2012-04-07 NA
"98" 2012-04-08 NA
"99" 2012-04-09 NA
"100" 2012-04-10 NA
"101" 2012-04-11 NA
"102" 2012-04-12 NA
"103" 2012-04-13 NA
"104" 2012-04-14 NA
"105" 2012-04-15 NA
"106" 2012-04-16 NA
"107" 2012-04-17 NA
"108" 2012-04-18 NA
"109" 2012-04-19 NA
"110" 2012-04-20 NA
"111" 2012-04-21 NA
"112" 2012-04-22 NA
"113" 2012-04-23 NA
"114" 2012-04-24 NA
"115" 2012-04-25 NA
"116" 2012-04-26 NA
"117" 2012-04-27 NA
"118" 2012-04-28 NA
"119" 2012-04-29 NA
"120" 2012-04-30 NA
"121" 2012-05-01 NA
"122" 2012-05-02 NA
"123" 2012-05-03 NA
"124" 2012-05-04 NA
"125" 2012-05-05 NA
"126" 2012-05-06 NA
"127" 2012-05-07 NA
"128" 2012-05-08 NA
"129" 2012-05-09 NA
"130" 2012-05-10 NA
"131" 2012-05-11 NA
"132" 2012-05-12 NA
"133" 2012-05-13 NA
"134" 2012-05-14 NA
"135" 2012-05-15 NA
"136" 2012-05-16 NA
"137" 2012-05-17 NA
"138" 2012-05-18 NA
"139" 2012-05-19 NA
"140" 2012-05-20 NA
"141" 2012-05-21 NA
"142" 2012-05-22 NA
"143" 2012-05-23 NA
"144" 2012-05-24 NA
"145" 2012-05-25 NA
"146" 2012-05-26 NA
"147" 2012-05-27 NA
"148" 2012-05-28 NA
"149" 2012-05-29 NA
"150" 2012-05-30 NA
"151" 2012-05-31 NA
"152" 2012-06-01 NA
"153" 2012-06-02 NA
"154" 2012-06-03 NA
"155" 2012-06-04 NA
"156" 2012-06-05 NA
"157" 2012-06-06 NA
"158" 2012-06-07 NA
"159" 2012-06-08 NA
"160" 2012-06-09 NA
"161" 2012-06-10 NA
"162" 2012-06-11 NA
"163" 2012-06-12 NA
"164" 2012-06-13 NA
"165" 2012-06-14 NA
"166" 2012-06-15 NA
"167" 2012-06-16 NA
"168" 2012-06-17 NA
"169" 2012-06-18 NA
"170" 2012-06-19 NA
"171" 2012-06-20 NA
"172" 2012-06-21 NA
"173" 2012-06-22 NA
"174" 2012-06-23 NA
"175" 2012-06-24 NA
"176" 2012-06-25 NA
"177" 2012-06-26 NA
"178" 2012-06-27 NA
"179" 2012-06-28 NA
"180" 2012-06-29 NA
"181" 2012-06-30 NA
"182" 2012-07-01 NA
"183" 2012-07-02 NA
"184" 2012-07-03 NA
"185" 2012-07-04 5
"186" 2012-07-05 97
"187" 2012-07-06 NA
"188" 2012-07-07 NA
"189" 2012-07-08 NA
"190" 2012-07-09 3
"191" 2012-07-10 4
"192" 2012-07-11 10
"193" 2012-07-12 NA
"194" 2012-07-13 NA
"195" 2012-07-14 NA
"196" 2012-07-15 NA
"197" 2012-07-16 7
"198" 2012-07-17 53
"199" 2012-07-18 14
"200" 2012-07-19 NA
"201" 2012-07-20 NA
"202" 2012-07-21 NA
"203" 2012-07-22 NA
"204" 2012-07-23 26
"205" 2012-07-24 5
"206" 2012-07-25 NA
"207" 2012-07-26 NA
"208" 2012-07-27 NA
"209" 2012-07-28 NA
"210" 2012-07-29 10
"211" 2012-07-30 NA
"212" 2012-07-31 NA
"213" 2012-08-01 26
"214" 2012-08-02 12
"215" 2012-08-03 NA
"216" 2012-08-04 NA
"217" 2012-08-05 4
"218" 2012-08-06 NA
"219" 2012-08-07 19
"220" 2012-08-08 8
"221" 2012-08-09 38
"222" 2012-08-10 NA
"223" 2012-08-11 NA
"224" 2012-08-12 NA
"225" 2012-08-13 30
"226" 2012-08-14 14
"227" 2012-08-15 NA
"228" 2012-08-16 20
"229" 2012-08-17 NA
"230" 2012-08-18 NA
"231" 2012-08-19 NA
"232" 2012-08-20 3
"233" 2012-08-21 NA
"234" 2012-08-22 NA
"235" 2012-08-23 NA
"236" 2012-08-24 NA
"237" 2012-08-25 4
"238" 2012-08-26 NA
"239" 2012-08-27 NA
"240" 2012-08-28 NA
"241" 2012-08-29 13
"242" 2012-08-30 3
"243" 2012-08-31 NA
"244" 2012-09-01 NA
"245" 2012-09-02 NA
"246" 2012-09-03 13
"247" 2012-09-04 50
"248" 2012-09-05 8
"249" 2012-09-06 NA
"250" 2012-09-07 NA
"251" 2012-09-08 10
"252" 2012-09-09 NA
"253" 2012-09-10 NA
"254" 2012-09-11 NA
"255" 2012-09-12 2
"256" 2012-09-13 20
"257" 2012-09-14 NA
"258" 2012-09-15 NA
"259" 2012-09-16 NA
"260" 2012-09-17 NA
"261" 2012-09-18 NA
"262" 2012-09-19 NA
"263" 2012-09-20 80
"264" 2012-09-21 NA
"265" 2012-09-22 NA
"266" 2012-09-23 9
"267" 2012-09-24 17
"268" 2012-09-25 NA
"269" 2012-09-26 NA
"270" 2012-09-27 NA
"271" 2012-09-28 NA
"272" 2012-09-29 NA
"273" 2012-09-30 22
"274" 2012-10-01 NA
"275" 2012-10-02 NA
"276" 2012-10-03 51
"277" 2012-10-04 NA
"278" 2012-10-05 NA
"279" 2012-10-06 NA
"280" 2012-10-07 40
"281" 2012-10-08 NA
"282" 2012-10-09 NA
"283" 2012-10-10 NA
"284" 2012-10-11 NA
"285" 2012-10-12 NA
"286" 2012-10-13 NA
"287" 2012-10-14 23
"288" 2012-10-15 20
"289" 2012-10-16 NA
"290" 2012-10-17 NA
"291" 2012-10-18 NA
"292" 2012-10-19 NA
"293" 2012-10-20 NA
"294" 2012-10-21 3
"295" 2012-10-22 NA
"296" 2012-10-23 3
"297" 2012-10-24 NA
"298" 2012-10-25 NA
"299" 2012-10-26 NA
"300" 2012-10-27 NA
"301" 2012-10-28 NA
"302" 2012-10-29 NA
"303" 2012-10-30 NA
"304" 2012-10-31 NA
"305" 2012-11-01 NA
"306" 2012-11-02 NA
"307" 2012-11-03 NA
"308" 2012-11-04 NA
"309" 2012-11-05 NA
"310" 2012-11-06 NA
"311" 2012-11-07 NA
"312" 2012-11-08 NA
"313" 2012-11-09 NA
"314" 2012-11-10 NA
"315" 2012-11-11 NA
"316" 2012-11-12 NA
"317" 2012-11-13 NA
"318" 2012-11-14 NA
"319" 2012-11-15 NA
"320" 2012-11-16 NA
"321" 2012-11-17 NA
"322" 2012-11-18 NA
"323" 2012-11-19 NA
"324" 2012-11-20 NA
"325" 2012-11-21 NA
"326" 2012-11-22 NA
"327" 2012-11-23 NA
"328" 2012-11-24 NA
"329" 2012-11-25 NA
"330" 2012-11-26 NA
"331" 2012-11-27 NA
"332" 2012-11-28 NA
"333" 2012-11-29 NA
"334" 2012-11-30 NA
"335" 2012-12-01 NA
"336" 2012-12-02 NA
"337" 2012-12-03 NA
"338" 2012-12-04 NA
"339" 2012-12-05 NA
"340" 2012-12-06 NA
"341" 2012-12-07 NA
"342" 2012-12-08 NA
"343" 2012-12-09 NA
"344" 2012-12-10 NA
"345" 2012-12-11 NA
"346" 2012-12-12 NA
"347" 2012-12-13 NA
"348" 2012-12-14 NA
"349" 2012-12-15 NA
"350" 2012-12-16 NA
"351" 2012-12-17 NA
"352" 2012-12-18 NA
"353" 2012-12-19 NA
"354" 2012-12-20 NA
"355" 2012-12-21 NA
"356" 2012-12-22 NA
"357" 2012-12-23 NA
"358" 2012-12-24 NA
"359" 2012-12-25 NA
"360" 2012-12-26 NA
"361" 2012-12-27 NA
"362" 2012-12-28 NA
"363" 2012-12-29 NA
"364" 2012-12-30 NA
"365" 2012-12-31 NA
"366" 2013-01-01 NA
"367" 2013-01-02 NA
"368" 2013-01-03 NA
"369" 2013-01-04 NA
"370" 2013-01-05 NA
"371" 2013-01-06 NA
"372" 2013-01-07 NA
"373" 2013-01-08 NA
"374" 2013-01-09 NA
"375" 2013-01-10 NA
"376" 2013-01-11 NA
"377" 2013-01-12 NA
"378" 2013-01-13 NA
"379" 2013-01-14 NA
"380" 2013-01-15 NA
"381" 2013-01-16 NA
"382" 2013-01-17 NA
"383" 2013-01-18 NA
"384" 2013-01-19 NA
"385" 2013-01-20 NA
"386" 2013-01-21 NA
"387" 2013-01-22 NA
"388" 2013-01-23 NA
"389" 2013-01-24 NA
"390" 2013-01-25 NA
"391" 2013-01-26 NA
"392" 2013-01-27 NA
"393" 2013-01-28 NA
"394" 2013-01-29 NA
"395" 2013-01-30 NA
"396" 2013-01-31 NA
"397" 2013-02-01 NA
"398" 2013-02-02 NA
"399" 2013-02-03 NA
"400" 2013-02-04 NA
"401" 2013-02-05 NA
"402" 2013-02-06 NA
"403" 2013-02-07 NA
"404" 2013-02-08 NA
"405" 2013-02-09 NA
"406" 2013-02-10 NA
"407" 2013-02-11 NA
"408" 2013-02-12 NA
"409" 2013-02-13 NA
"410" 2013-02-14 NA
"411" 2013-02-15 NA
