"Date" "Value"
"1" 2014-03-14 17
"2" 2014-03-15 NA
"3" 2014-03-16 NA
"4" 2014-03-17 NA
"5" 2014-03-18 NA
"6" 2014-03-19 NA
"7" 2014-03-20 38
"8" 2014-03-21 10
"9" 2014-03-22 NA
"10" 2014-03-23 NA
"11" 2014-03-24 NA
"12" 2014-03-25 NA
"13" 2014-03-26 NA
"14" 2014-03-27 NA
"15" 2014-03-28 NA
"16" 2014-03-29 NA
"17" 2014-03-30 NA
"18" 2014-03-31 NA
"19" 2014-04-01 NA
"20" 2014-04-02 NA
"21" 2014-04-03 NA
"22" 2014-04-04 NA
"23" 2014-04-05 NA
"24" 2014-04-06 NA
"25" 2014-04-07 NA
"26" 2014-04-08 19
"27" 2014-04-09 NA
"28" 2014-04-10 NA
"29" 2014-04-11 NA
"30" 2014-04-12 NA
"31" 2014-04-13 NA
"32" 2014-04-14 NA
"33" 2014-04-15 NA
"34" 2014-04-16 NA
"35" 2014-04-17 NA
"36" 2014-04-18 50
"37" 2014-04-19 NA
"38" 2014-04-20 NA
"39" 2014-04-21 NA
"40" 2014-04-22 NA
"41" 2014-04-23 NA
"42" 2014-04-24 NA
"43" 2014-04-25 10
"44" 2014-04-26 NA
"45" 2014-04-27 NA
"46" 2014-04-28 NA
"47" 2014-04-29 NA
"48" 2014-04-30 NA
"49" 2014-05-01 NA
"50" 2014-05-02 42
"51" 2014-05-03 NA
"52" 2014-05-04 NA
"53" 2014-05-05 18
"54" 2014-05-06 120
"55" 2014-05-07 5
"56" 2014-05-08 15
"57" 2014-05-09 20
"58" 2014-05-10 NA
"59" 2014-05-11 NA
"60" 2014-05-12 20
"61" 2014-05-13 23
"62" 2014-05-14 NA
"63" 2014-05-15 10
"64" 2014-05-16 NA
"65" 2014-05-17 NA
"66" 2014-05-18 NA
"67" 2014-05-19 80
"68" 2014-05-20 100
"69" 2014-05-21 NA
"70" 2014-05-22 NA
"71" 2014-05-23 NA
"72" 2014-05-24 NA
"73" 2014-05-25 NA
"74" 2014-05-26 NA
"75" 2014-05-27 NA
"76" 2014-05-28 NA
"77" 2014-05-29 NA
"78" 2014-05-30 NA
"79" 2014-05-31 NA
"80" 2014-06-01 NA
"81" 2014-06-02 NA
"82" 2014-06-03 NA
"83" 2014-06-04 NA
"84" 2014-06-05 NA
"85" 2014-06-06 NA
"86" 2014-06-07 NA
"87" 2014-06-08 NA
"88" 2014-06-09 NA
"89" 2014-06-10 80
"90" 2014-06-11 NA
"91" 2014-06-12 NA
"92" 2014-06-13 13
"93" 2014-06-14 NA
"94" 2014-06-15 NA
"95" 2014-06-16 NA
"96" 2014-06-17 16
"97" 2014-06-18 NA
"98" 2014-06-19 NA
"99" 2014-06-20 62
"100" 2014-06-21 NA
"101" 2014-06-22 NA
"102" 2014-06-23 NA
"103" 2014-06-24 10
"104" 2014-06-25 NA
"105" 2014-06-26 NA
"106" 2014-06-27 NA
"107" 2014-06-28 NA
"108" 2014-06-29 NA
"109" 2014-06-30 NA
"110" 2014-07-01 NA
"111" 2014-07-02 NA
"112" 2014-07-03 NA
"113" 2014-07-04 NA
"114" 2014-07-05 NA
"115" 2014-07-06 NA
"116" 2014-07-07 NA
"117" 2014-07-08 NA
"118" 2014-07-09 NA
"119" 2014-07-10 NA
"120" 2014-07-11 NA
"121" 2014-07-12 NA
"122" 2014-07-13 NA
"123" 2014-07-14 80
"124" 2014-07-15 NA
"125" 2014-07-16 NA
"126" 2014-07-17 NA
"127" 2014-07-18 65
"128" 2014-07-19 NA
"129" 2014-07-20 NA
"130" 2014-07-21 NA
"131" 2014-07-22 NA
"132" 2014-07-23 NA
"133" 2014-07-24 NA
"134" 2014-07-25 NA
"135" 2014-07-26 NA
"136" 2014-07-27 NA
"137" 2014-07-28 NA
"138" 2014-07-29 NA
"139" 2014-07-30 NA
"140" 2014-07-31 NA
"141" 2014-08-01 NA
"142" 2014-08-02 NA
"143" 2014-08-03 NA
"144" 2014-08-04 NA
"145" 2014-08-05 NA
"146" 2014-08-06 NA
"147" 2014-08-07 NA
"148" 2014-08-08 NA
"149" 2014-08-09 NA
"150" 2014-08-10 NA
"151" 2014-08-11 NA
"152" 2014-08-12 NA
"153" 2014-08-13 NA
"154" 2014-08-14 NA
"155" 2014-08-15 NA
"156" 2014-08-16 NA
"157" 2014-08-17 NA
"158" 2014-08-18 NA
"159" 2014-08-19 NA
"160" 2014-08-20 NA
"161" 2014-08-21 NA
"162" 2014-08-22 NA
"163" 2014-08-23 NA
"164" 2014-08-24 NA
"165" 2014-08-25 NA
"166" 2014-08-26 NA
"167" 2014-08-27 NA
"168" 2014-08-28 NA
"169" 2014-08-29 NA
"170" 2014-08-30 NA
"171" 2014-08-31 NA
"172" 2014-09-01 NA
"173" 2014-09-02 NA
"174" 2014-09-03 NA
"175" 2014-09-04 NA
"176" 2014-09-05 NA
"177" 2014-09-06 NA
"178" 2014-09-07 NA
