"Date" "Value"
"1" 2010-05-14 115
"2" 2010-05-15 NA
"3" 2010-05-16 NA
"4" 2010-05-17 NA
"5" 2010-05-18 NA
"6" 2010-05-19 NA
"7" 2010-05-20 NA
"8" 2010-05-21 NA
"9" 2010-05-22 NA
"10" 2010-05-23 NA
"11" 2010-05-24 NA
"12" 2010-05-25 NA
"13" 2010-05-26 NA
"14" 2010-05-27 NA
"15" 2010-05-28 NA
"16" 2010-05-29 NA
"17" 2010-05-30 NA
"18" 2010-05-31 NA
"19" 2010-06-01 NA
"20" 2010-06-02 NA
"21" 2010-06-03 NA
"22" 2010-06-04 NA
"23" 2010-06-05 NA
"24" 2010-06-06 NA
"25" 2010-06-07 NA
"26" 2010-06-08 NA
"27" 2010-06-09 NA
"28" 2010-06-10 NA
"29" 2010-06-11 NA
"30" 2010-06-12 NA
"31" 2010-06-13 NA
"32" 2010-06-14 NA
"33" 2010-06-15 NA
"34" 2010-06-16 NA
"35" 2010-06-17 NA
"36" 2010-06-18 NA
"37" 2010-06-19 NA
"38" 2010-06-20 NA
"39" 2010-06-21 NA
"40" 2010-06-22 NA
"41" 2010-06-23 NA
"42" 2010-06-24 NA
"43" 2010-06-25 NA
"44" 2010-06-26 NA
"45" 2010-06-27 NA
"46" 2010-06-28 NA
"47" 2010-06-29 NA
"48" 2010-06-30 NA
"49" 2010-07-01 NA
"50" 2010-07-02 NA
"51" 2010-07-03 NA
"52" 2010-07-04 NA
"53" 2010-07-05 NA
"54" 2010-07-06 NA
"55" 2010-07-07 NA
"56" 2010-07-08 NA
"57" 2010-07-09 NA
"58" 2010-07-10 NA
"59" 2010-07-11 NA
"60" 2010-07-12 NA
"61" 2010-07-13 NA
"62" 2010-07-14 NA
"63" 2010-07-15 NA
"64" 2010-07-16 NA
"65" 2010-07-17 NA
"66" 2010-07-18 NA
"67" 2010-07-19 NA
"68" 2010-07-20 NA
"69" 2010-07-21 NA
"70" 2010-07-22 NA
"71" 2010-07-23 NA
"72" 2010-07-24 NA
"73" 2010-07-25 NA
"74" 2010-07-26 NA
"75" 2010-07-27 NA
"76" 2010-07-28 NA
"77" 2010-07-29 NA
"78" 2010-07-30 NA
"79" 2010-07-31 NA
"80" 2010-08-01 NA
"81" 2010-08-02 NA
"82" 2010-08-03 NA
"83" 2010-08-04 NA
"84" 2010-08-05 NA
"85" 2010-08-06 NA
"86" 2010-08-07 NA
"87" 2010-08-08 NA
"88" 2010-08-09 NA
"89" 2010-08-10 NA
"90" 2010-08-11 NA
"91" 2010-08-12 NA
"92" 2010-08-13 NA
"93" 2010-08-14 NA
"94" 2010-08-15 NA
"95" 2010-08-16 NA
"96" 2010-08-17 NA
"97" 2010-08-18 NA
"98" 2010-08-19 NA
"99" 2010-08-20 NA
"100" 2010-08-21 NA
"101" 2010-08-22 NA
"102" 2010-08-23 NA
"103" 2010-08-24 NA
"104" 2010-08-25 NA
"105" 2010-08-26 NA
"106" 2010-08-27 NA
"107" 2010-08-28 NA
"108" 2010-08-29 NA
"109" 2010-08-30 NA
"110" 2010-08-31 NA
"111" 2010-09-01 NA
"112" 2010-09-02 NA
"113" 2010-09-03 NA
"114" 2010-09-04 NA
"115" 2010-09-05 NA
"116" 2010-09-06 NA
"117" 2010-09-07 NA
"118" 2010-09-08 NA
"119" 2010-09-09 NA
"120" 2010-09-10 NA
"121" 2010-09-11 NA
"122" 2010-09-12 NA
"123" 2010-09-13 NA
"124" 2010-09-14 NA
"125" 2010-09-15 NA
"126" 2010-09-16 NA
"127" 2010-09-17 NA
"128" 2010-09-18 NA
"129" 2010-09-19 NA
"130" 2010-09-20 NA
"131" 2010-09-21 NA
"132" 2010-09-22 NA
"133" 2010-09-23 NA
"134" 2010-09-24 NA
"135" 2010-09-25 NA
"136" 2010-09-26 NA
"137" 2010-09-27 NA
"138" 2010-09-28 NA
"139" 2010-09-29 NA
"140" 2010-09-30 NA
"141" 2010-10-01 NA
"142" 2010-10-02 NA
"143" 2010-10-03 NA
"144" 2010-10-04 NA
"145" 2010-10-05 NA
"146" 2010-10-06 NA
"147" 2010-10-07 NA
"148" 2010-10-08 NA
"149" 2010-10-09 NA
"150" 2010-10-10 NA
"151" 2010-10-11 NA
"152" 2010-10-12 NA
"153" 2010-10-13 NA
"154" 2010-10-14 NA
"155" 2010-10-15 NA
"156" 2010-10-16 NA
"157" 2010-10-17 NA
"158" 2010-10-18 NA
"159" 2010-10-19 NA
"160" 2010-10-20 NA
"161" 2010-10-21 NA
"162" 2010-10-22 NA
"163" 2010-10-23 NA
"164" 2010-10-24 NA
"165" 2010-10-25 NA
"166" 2010-10-26 NA
"167" 2010-10-27 NA
"168" 2010-10-28 NA
"169" 2010-10-29 NA
"170" 2010-10-30 NA
"171" 2010-10-31 NA
"172" 2010-11-01 NA
"173" 2010-11-02 NA
"174" 2010-11-03 NA
"175" 2010-11-04 NA
"176" 2010-11-05 NA
"177" 2010-11-06 NA
