"Date" "Value"
"1" 2010-01-01 0
"2" 2010-01-02 0
"3" 2010-01-03 0
"4" 2010-01-04 0
"5" 2010-01-05 0
"6" 2010-01-06 0
"7" 2010-01-07 0
"8" 2010-01-08 0
"9" 2010-01-09 0
"10" 2010-01-10 0
"11" 2010-01-11 0
"12" 2010-01-12 0
"13" 2010-01-13 0
"14" 2010-01-14 0
"15" 2010-01-15 0
"16" 2010-01-16 0
"17" 2010-01-17 2
"18" 2010-01-18 0
"19" 2010-01-19 0
"20" 2010-01-20 0
"21" 2010-01-21 2
"22" 2010-01-22 0
"23" 2010-01-23 0
"24" 2010-01-24 0
"25" 2010-01-25 0
"26" 2010-01-26 1
"27" 2010-01-27 0
"28" 2010-01-28 0
"29" 2010-01-29 0
"30" 2010-01-30 0
"31" 2010-01-31 NA
"32" 2010-02-01 0
"33" 2010-02-02 0
"34" 2010-02-03 0
"35" 2010-02-04 0
"36" 2010-02-05 2
"37" 2010-02-06 0
"38" 2010-02-07 0
"39" 2010-02-08 0
"40" 2010-02-09 0
"41" 2010-02-10 0
"42" 2010-02-11 0
"43" 2010-02-12 0
"44" 2010-02-13 0
"45" 2010-02-14 0
"46" 2010-02-15 0
"47" 2010-02-16 0
"48" 2010-02-17 0
"49" 2010-02-18 0
"50" 2010-02-19 0
"51" 2010-02-20 0
"52" 2010-02-21 0
"53" 2010-02-22 0
"54" 2010-02-23 0
"55" 2010-02-24 0
"56" 2010-02-25 0
"57" 2010-02-26 2
"58" 2010-02-27 0
"59" 2010-02-28 0
"60" 2010-03-01 0
"61" 2010-03-02 0
"62" 2010-03-03 81
"63" 2010-03-04 0
"64" 2010-03-05 0
"65" 2010-03-06 1
"66" 2010-03-07 0
"67" 2010-03-08 8
"68" 2010-03-09 45
"69" 2010-03-10 5
"70" 2010-03-11 0
"71" 2010-03-12 0
"72" 2010-03-13 0
"73" 2010-03-14 0
"74" 2010-03-15 0
"75" 2010-03-16 0
"76" 2010-03-17 6
"77" 2010-03-18 0
"78" 2010-03-19 20
"79" 2010-03-20 0
"80" 2010-03-21 0
"81" 2010-03-22 45
"82" 2010-03-23 5
"83" 2010-03-24 0
"84" 2010-03-25 0
"85" 2010-03-26 0
"86" 2010-03-27 0
"87" 2010-03-28 0
"88" 2010-03-29 37
"89" 2010-03-30 40
"90" 2010-03-31 22
"91" 2010-04-01 5
"92" 2010-04-02 0
"93" 2010-04-03 0
"94" 2010-04-04 0
"95" 2010-04-05 35
"96" 2010-04-06 0
"97" 2010-04-07 1
"98" 2010-04-08 8
"99" 2010-04-09 45
"100" 2010-04-10 5
"101" 2010-04-11 0
"102" 2010-04-12 0
"103" 2010-04-13 0
"104" 2010-04-14 0
"105" 2010-04-15 0
"106" 2010-04-16 0
"107" 2010-04-17 6
"108" 2010-04-18 0
"109" 2010-04-19 20
"110" 2010-04-20 0
"111" 2010-04-21 0
"112" 2010-04-22 0
"113" 2010-04-23 0
"114" 2010-04-24 0
"115" 2010-04-25 0
"116" 2010-04-26 51
"117" 2010-04-27 3
"118" 2010-04-28 2
"119" 2010-04-29 37
"120" 2010-04-30 2
"121" 2010-05-01 0
"122" 2010-05-02 0
"123" 2010-05-03 0
"124" 2010-05-04 10
"125" 2010-05-05 0
"126" 2010-05-06 0
"127" 2010-05-07 33
"128" 2010-05-08 0
"129" 2010-05-09 0
"130" 2010-05-10 0
"131" 2010-05-11 0
"132" 2010-05-12 0
"133" 2010-05-13 7
"134" 2010-05-14 140
"135" 2010-05-15 10
"136" 2010-05-16 0
"137" 2010-05-17 19
"138" 2010-05-18 0
"139" 2010-05-19 2
"140" 2010-05-20 0
"141" 2010-05-21 0
"142" 2010-05-22 2
"143" 2010-05-23 0
"144" 2010-05-24 2
"145" 2010-05-25 0
"146" 2010-05-26 0
"147" 2010-05-27 0
"148" 2010-05-28 0
"149" 2010-05-29 0
"150" 2010-05-30 0
"151" 2010-05-31 8
"152" 2010-06-01 2
"153" 2010-06-02 2
"154" 2010-06-03 8
"155" 2010-06-04 0
"156" 2010-06-05 0
"157" 2010-06-06 0
"158" 2010-06-07 0
"159" 2010-06-08 51
"160" 2010-06-09 60
"161" 2010-06-10 1
"162" 2010-06-11 0
