"Date" "Value"
"1" 2014-01-01 12
"2" 2014-01-02 10
"3" 2014-01-03 NA
"4" 2014-01-04 NA
"5" 2014-01-05 NA
"6" 2014-01-06 5
"7" 2014-01-07 2
"8" 2014-01-08 NA
"9" 2014-01-09 NA
"10" 2014-01-10 NA
"11" 2014-01-11 NA
"12" 2014-01-12 NA
"13" 2014-01-13 NA
"14" 2014-01-14 NA
"15" 2014-01-15 8
"16" 2014-01-16 NA
"17" 2014-01-17 NA
"18" 2014-01-18 NA
"19" 2014-01-19 NA
"20" 2014-01-20 NA
"21" 2014-01-21 NA
"22" 2014-01-22 7
"23" 2014-01-23 NA
"24" 2014-01-24 NA
"25" 2014-01-25 NA
"26" 2014-01-26 NA
"27" 2014-01-27 NA
"28" 2014-01-28 NA
"29" 2014-01-29 NA
"30" 2014-01-30 NA
"31" 2014-01-31 NA
"32" 2014-02-01 NA
"33" 2014-02-02 NA
"34" 2014-02-03 NA
"35" 2014-02-04 NA
"36" 2014-02-05 NA
"37" 2014-02-06 NA
"38" 2014-02-07 NA
"39" 2014-02-08 NA
"40" 2014-02-09 NA
"41" 2014-02-10 NA
"42" 2014-02-11 NA
"43" 2014-02-12 NA
"44" 2014-02-13 NA
"45" 2014-02-14 NA
"46" 2014-02-15 NA
"47" 2014-02-16 NA
"48" 2014-02-17 NA
"49" 2014-02-18 NA
"50" 2014-02-19 NA
"51" 2014-02-20 NA
"52" 2014-02-21 NA
"53" 2014-02-22 NA
"54" 2014-02-23 NA
"55" 2014-02-24 NA
"56" 2014-02-25 NA
"57" 2014-02-26 NA
"58" 2014-02-27 NA
"59" 2014-02-28 NA
"60" 2014-03-01 NA
"61" 2014-03-02 NA
"62" 2014-03-03 NA
"63" 2014-03-04 NA
"64" 2014-03-05 NA
"65" 2014-03-06 NA
"66" 2014-03-07 NA
"67" 2014-03-08 42
"68" 2014-03-09 NA
"69" 2014-03-10 NA
"70" 2014-03-11 NA
"71" 2014-03-12 NA
"72" 2014-03-13 NA
"73" 2014-03-14 NA
"74" 2014-03-15 NA
"75" 2014-03-16 NA
"76" 2014-03-17 NA
"77" 2014-03-18 NA
"78" 2014-03-19 NA
"79" 2014-03-20 NA
"80" 2014-03-21 NA
"81" 2014-03-22 NA
"82" 2014-03-23 NA
"83" 2014-03-24 NA
"84" 2014-03-25 20
"85" 2014-03-26 NA
"86" 2014-03-27 NA
"87" 2014-03-28 NA
"88" 2014-03-29 NA
"89" 2014-03-30 NA
"90" 2014-03-31 NA
"91" 2014-04-01 NA
"92" 2014-04-02 NA
"93" 2014-04-03 NA
"94" 2014-04-04 NA
"95" 2014-04-05 NA
"96" 2014-04-06 NA
"97" 2014-04-07 NA
"98" 2014-04-08 NA
"99" 2014-04-09 NA
"100" 2014-04-10 NA
"101" 2014-04-11 NA
"102" 2014-04-12 NA
"103" 2014-04-13 NA
"104" 2014-04-14 NA
"105" 2014-04-15 NA
"106" 2014-04-16 NA
"107" 2014-04-17 NA
"108" 2014-04-18 NA
"109" 2014-04-19 NA
"110" 2014-04-20 NA
"111" 2014-04-21 21
"112" 2014-04-22 10
"113" 2014-04-23 13
"114" 2014-04-24 NA
"115" 2014-04-25 NA
"116" 2014-04-26 NA
"117" 2014-04-27 NA
"118" 2014-04-28 NA
"119" 2014-04-29 NA
"120" 2014-04-30 12
"121" 2014-05-01 NA
"122" 2014-05-02 4
"123" 2014-05-03 17
"124" 2014-05-04 NA
"125" 2014-05-05 NA
"126" 2014-05-06 NA
"127" 2014-05-07 5
"128" 2014-05-08 NA
"129" 2014-05-09 54
"130" 2014-05-10 NA
"131" 2014-05-11 NA
"132" 2014-05-12 58
"133" 2014-05-13 5
"134" 2014-05-14 5
"135" 2014-05-15 8
"136" 2014-05-16 NA
"137" 2014-05-17 NA
"138" 2014-05-18 13
"139" 2014-05-19 NA
"140" 2014-05-20 70
"141" 2014-05-21 NA
"142" 2014-05-22 NA
"143" 2014-05-23 NA
"144" 2014-05-24 NA
"145" 2014-05-25 9
"146" 2014-05-26 NA
"147" 2014-05-27 NA
"148" 2014-05-28 NA
"149" 2014-05-29 NA
