"Date" "Value"
"1" 2011-02-28 20
"2" 2011-03-01 NA
"3" 2011-03-02 NA
"4" 2011-03-03 NA
"5" 2011-03-04 NA
"6" 2011-03-05 NA
"7" 2011-03-06 NA
"8" 2011-03-07 NA
"9" 2011-03-08 NA
"10" 2011-03-09 NA
"11" 2011-03-10 NA
"12" 2011-03-11 NA
"13" 2011-03-12 NA
"14" 2011-03-13 NA
"15" 2011-03-14 NA
"16" 2011-03-15 NA
"17" 2011-03-16 NA
"18" 2011-03-17 NA
"19" 2011-03-18 NA
"20" 2011-03-19 NA
"21" 2011-03-20 NA
"22" 2011-03-21 NA
"23" 2011-03-22 NA
"24" 2011-03-23 NA
"25" 2011-03-24 NA
"26" 2011-03-25 NA
"27" 2011-03-26 NA
"28" 2011-03-27 NA
"29" 2011-03-28 NA
"30" 2011-03-29 NA
"31" 2011-03-30 NA
"32" 2011-03-31 NA
"33" 2011-04-01 NA
"34" 2011-04-02 NA
"35" 2011-04-03 NA
"36" 2011-04-04 NA
"37" 2011-04-05 NA
"38" 2011-04-06 NA
"39" 2011-04-07 NA
"40" 2011-04-08 NA
"41" 2011-04-09 NA
"42" 2011-04-10 NA
"43" 2011-04-11 NA
"44" 2011-04-12 NA
"45" 2011-04-13 NA
"46" 2011-04-14 NA
"47" 2011-04-15 NA
"48" 2011-04-16 NA
"49" 2011-04-17 NA
"50" 2011-04-18 NA
"51" 2011-04-19 NA
"52" 2011-04-20 NA
"53" 2011-04-21 NA
"54" 2011-04-22 NA
"55" 2011-04-23 NA
"56" 2011-04-24 NA
"57" 2011-04-25 NA
"58" 2011-04-26 NA
"59" 2011-04-27 NA
"60" 2011-04-28 NA
"61" 2011-04-29 NA
"62" 2011-04-30 NA
"63" 2011-05-01 NA
"64" 2011-05-02 NA
"65" 2011-05-03 NA
"66" 2011-05-04 NA
"67" 2011-05-05 NA
"68" 2011-05-06 NA
"69" 2011-05-07 NA
"70" 2011-05-08 NA
"71" 2011-05-09 NA
"72" 2011-05-10 NA
"73" 2011-05-11 NA
"74" 2011-05-12 NA
"75" 2011-05-13 NA
"76" 2011-05-14 NA
"77" 2011-05-15 NA
"78" 2011-05-16 NA
"79" 2011-05-17 NA
"80" 2011-05-18 NA
"81" 2011-05-19 NA
"82" 2011-05-20 NA
"83" 2011-05-21 NA
"84" 2011-05-22 NA
"85" 2011-05-23 NA
"86" 2011-05-24 NA
"87" 2011-05-25 NA
"88" 2011-05-26 NA
"89" 2011-05-27 NA
"90" 2011-05-28 NA
"91" 2011-05-29 NA
"92" 2011-05-30 NA
"93" 2011-05-31 NA
"94" 2011-06-01 NA
"95" 2011-06-02 NA
"96" 2011-06-03 NA
"97" 2011-06-04 NA
"98" 2011-06-05 NA
"99" 2011-06-06 NA
"100" 2011-06-07 NA
"101" 2011-06-08 NA
"102" 2011-06-09 NA
"103" 2011-06-10 NA
"104" 2011-06-11 NA
"105" 2011-06-12 NA
"106" 2011-06-13 NA
"107" 2011-06-14 NA
"108" 2011-06-15 NA
"109" 2011-06-16 NA
"110" 2011-06-17 NA
"111" 2011-06-18 NA
"112" 2011-06-19 NA
"113" 2011-06-20 NA
"114" 2011-06-21 NA
"115" 2011-06-22 NA
"116" 2011-06-23 NA
"117" 2011-06-24 NA
"118" 2011-06-25 NA
"119" 2011-06-26 NA
"120" 2011-06-27 NA
"121" 2011-06-28 NA
"122" 2011-06-29 NA
"123" 2011-06-30 NA
"124" 2011-07-01 NA
"125" 2011-07-02 NA
"126" 2011-07-03 NA
"127" 2011-07-04 NA
"128" 2011-07-05 NA
"129" 2011-07-06 NA
"130" 2011-07-07 NA
"131" 2011-07-08 NA
"132" 2011-07-09 NA
"133" 2011-07-10 NA
"134" 2011-07-11 NA
"135" 2011-07-12 NA
"136" 2011-07-13 NA
"137" 2011-07-14 NA
"138" 2011-07-15 NA
"139" 2011-07-16 NA
"140" 2011-07-17 NA
"141" 2011-07-18 NA
"142" 2011-07-19 NA
"143" 2011-07-20 NA
"144" 2011-07-21 NA
"145" 2011-07-22 NA
"146" 2011-07-23 NA
"147" 2011-07-24 NA
"148" 2011-07-25 NA
"149" 2011-07-26 NA
"150" 2011-07-27 NA
"151" 2011-07-28 NA
"152" 2011-07-29 NA
"153" 2011-07-30 NA
"154" 2011-07-31 NA
"155" 2011-08-01 NA
"156" 2011-08-02 NA
"157" 2011-08-03 NA
"158" 2011-08-04 NA
"159" 2011-08-05 NA
"160" 2011-08-06 NA
"161" 2011-08-07 NA
"162" 2011-08-08 NA
"163" 2011-08-09 NA
"164" 2011-08-10 NA
"165" 2011-08-11 NA
"166" 2011-08-12 NA
"167" 2011-08-13 NA
"168" 2011-08-14 NA
"169" 2011-08-15 NA
"170" 2011-08-16 NA
"171" 2011-08-17 NA
"172" 2011-08-18 NA
"173" 2011-08-19 NA
"174" 2011-08-20 NA
"175" 2011-08-21 NA
"176" 2011-08-22 NA
"177" 2011-08-23 NA
"178" 2011-08-24 NA
"179" 2011-08-25 NA
"180" 2011-08-26 NA
"181" 2011-08-27 NA
"182" 2011-08-28 NA
"183" 2011-08-29 NA
"184" 2011-08-30 NA
"185" 2011-08-31 NA
"186" 2011-09-01 NA
"187" 2011-09-02 NA
"188" 2011-09-03 NA
"189" 2011-09-04 NA
"190" 2011-09-05 NA
"191" 2011-09-06 NA
"192" 2011-09-07 NA
"193" 2011-09-08 NA
"194" 2011-09-09 NA
"195" 2011-09-10 NA
"196" 2011-09-11 NA
"197" 2011-09-12 NA
"198" 2011-09-13 NA
"199" 2011-09-14 NA
"200" 2011-09-15 NA
"201" 2011-09-16 NA
"202" 2011-09-17 NA
"203" 2011-09-18 NA
"204" 2011-09-19 NA
