"Date" "Value"
"1" 2014-02-22 11
"2" 2014-02-23 NA
"3" 2014-02-24 NA
"4" 2014-02-25 NA
"5" 2014-02-26 NA
"6" 2014-02-27 NA
"7" 2014-02-28 NA
"8" 2014-03-01 17
"9" 2014-03-02 NA
"10" 2014-03-03 NA
"11" 2014-03-04 NA
"12" 2014-03-05 NA
"13" 2014-03-06 NA
"14" 2014-03-07 NA
"15" 2014-03-08 NA
"16" 2014-03-09 NA
"17" 2014-03-10 NA
"18" 2014-03-11 NA
"19" 2014-03-12 NA
"20" 2014-03-13 NA
"21" 2014-03-14 NA
"22" 2014-03-15 NA
"23" 2014-03-16 NA
"24" 2014-03-17 NA
"25" 2014-03-18 NA
"26" 2014-03-19 NA
"27" 2014-03-20 NA
"28" 2014-03-21 NA
"29" 2014-03-22 NA
"30" 2014-03-23 NA
"31" 2014-03-24 NA
"32" 2014-03-25 30
"33" 2014-03-26 NA
"34" 2014-03-27 NA
"35" 2014-03-28 NA
"36" 2014-03-29 NA
"37" 2014-03-30 NA
"38" 2014-03-31 NA
"39" 2014-04-01 NA
"40" 2014-04-02 NA
"41" 2014-04-03 NA
"42" 2014-04-04 NA
"43" 2014-04-05 NA
"44" 2014-04-06 NA
"45" 2014-04-07 NA
"46" 2014-04-08 NA
"47" 2014-04-09 NA
"48" 2014-04-10 NA
"49" 2014-04-11 NA
"50" 2014-04-12 NA
"51" 2014-04-13 NA
"52" 2014-04-14 NA
"53" 2014-04-15 NA
"54" 2014-04-16 12
"55" 2014-04-17 NA
"56" 2014-04-18 NA
"57" 2014-04-19 11
"58" 2014-04-20 6
"59" 2014-04-21 6
"60" 2014-04-22 NA
"61" 2014-04-23 33
"62" 2014-04-24 NA
"63" 2014-04-25 11
"64" 2014-04-26 NA
"65" 2014-04-27 NA
"66" 2014-04-28 NA
"67" 2014-04-29 NA
"68" 2014-04-30 NA
"69" 2014-05-01 20
"70" 2014-05-02 4
"71" 2014-05-03 NA
"72" 2014-05-04 18
"73" 2014-05-05 82
"74" 2014-05-06 24
"75" 2014-05-07 NA
"76" 2014-05-08 38
"77" 2014-05-09 NA
"78" 2014-05-10 NA
"79" 2014-05-11 18
"80" 2014-05-12 23
"81" 2014-05-13 NA
"82" 2014-05-14 5
"83" 2014-05-15 NA
"84" 2014-05-16 NA
"85" 2014-05-17 10
"86" 2014-05-18 61
"87" 2014-05-19 NA
"88" 2014-05-20 110
"89" 2014-05-21 NA
"90" 2014-05-22 NA
"91" 2014-05-23 24
"92" 2014-05-24 NA
"93" 2014-05-25 9
"94" 2014-05-26 NA
"95" 2014-05-27 20
"96" 2014-05-28 4
"97" 2014-05-29 NA
"98" 2014-05-30 NA
"99" 2014-05-31 NA
"100" 2014-06-01 NA
"101" 2014-06-02 NA
"102" 2014-06-03 NA
"103" 2014-06-04 NA
"104" 2014-06-05 NA
"105" 2014-06-06 20
"106" 2014-06-07 NA
"107" 2014-06-08 NA
"108" 2014-06-09 82
"109" 2014-06-10 NA
"110" 2014-06-11 NA
"111" 2014-06-12 NA
"112" 2014-06-13 NA
"113" 2014-06-14 NA
"114" 2014-06-15 NA
"115" 2014-06-16 NA
"116" 2014-06-17 14
"117" 2014-06-18 22
"118" 2014-06-19 55
"119" 2014-06-20 3
"120" 2014-06-21 NA
"121" 2014-06-22 NA
"122" 2014-06-23 9
"123" 2014-06-24 NA
"124" 2014-06-25 4
"125" 2014-06-26 NA
"126" 2014-06-27 NA
"127" 2014-06-28 NA
"128" 2014-06-29 NA
"129" 2014-06-30 14
"130" 2014-07-01 NA
"131" 2014-07-02 NA
"132" 2014-07-03 50
"133" 2014-07-04 NA
"134" 2014-07-05 20
"135" 2014-07-06 86
"136" 2014-07-07 4
"137" 2014-07-08 NA
"138" 2014-07-09 15
"139" 2014-07-10 38
"140" 2014-07-11 NA
"141" 2014-07-12 NA
"142" 2014-07-13 22
"143" 2014-07-14 3
"144" 2014-07-15 NA
"145" 2014-07-16 NA
"146" 2014-07-17 NA
"147" 2014-07-18 67
"148" 2014-07-19 NA
"149" 2014-07-20 18
"150" 2014-07-21 4
"151" 2014-07-22 NA
"152" 2014-07-23 22
"153" 2014-07-24 4
"154" 2014-07-25 NA
"155" 2014-07-26 NA
"156" 2014-07-27 15
"157" 2014-07-28 NA
"158" 2014-07-29 20
"159" 2014-07-30 22
"160" 2014-07-31 5
"161" 2014-08-01 NA
"162" 2014-08-02 NA
"163" 2014-08-03 40
"164" 2014-08-04 NA
"165" 2014-08-05 NA
"166" 2014-08-06 42
"167" 2014-08-07 NA
"168" 2014-08-08 NA
